"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","ScientificName","taxonomicStatus","taxonRank","type","authorship","source"
"241117",0,"Malacostraca","Decapoda","Acidopsidae","Acidops",NA,"cessacii",NA,"Acidops cessacii","accepted","Species","accepted","(A. Milne-Edwards, 1878)","WoRMS"
"440878",0,"Malacostraca","Decapoda","Acidopsidae","Acidops",NA,"fimbriatus",NA,"Acidops fimbriatus","accepted","Species","accepted","Stimpson, 1871","WoRMS"
"442625",0,"Malacostraca","Decapoda","Acidopsidae","Caecopilumnus",NA,"crassipes",NA,"Caecopilumnus crassipes","accepted","Species","accepted","(Tesch, 1918)","WoRMS"
"442626",0,"Malacostraca","Decapoda","Acidopsidae","Caecopilumnus",NA,"hirsutus",NA,"Caecopilumnus hirsutus","accepted","Species","accepted","Borradaile, 1902","WoRMS"
"877945",0,"Malacostraca","Decapoda","Acidopsidae","Caecopilumnus",NA,"loculatus",NA,"Caecopilumnus loculatus","accepted","Species","accepted","P.K.L. Ng & Rahayu, 2014","WoRMS"
"877944",0,"Malacostraca","Decapoda","Acidopsidae","Crinitocinus",NA,"alcocki",NA,"Crinitocinus alcocki","accepted","Species","accepted","(Borradaile, 1902)","WoRMS"
"440879",0,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"cristimanus",NA,"Parapilumnus cristimanus","accepted","Species","accepted","(A. Milne-Edwards, 1873)","WoRMS"
"440880",0,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"oryctos",NA,"Parapilumnus oryctos","accepted","Species","accepted","P.K.L. Ng, 2002","WoRMS"
"877946",0,"Malacostraca","Decapoda","Acidopsidae","Raoulia",NA,"calva",NA,"Raoulia calva","accepted","Species","accepted","P.K.L. Ng & Rahayu, 2014","WoRMS"
"877947",0,"Malacostraca","Decapoda","Acidopsidae","Raoulia",NA,"fortis",NA,"Raoulia fortis","accepted","Species","accepted","P.K.L. Ng & Rahayu, 2014","WoRMS"
"877948",0,"Malacostraca","Decapoda","Acidopsidae","Raoulia",NA,"galea",NA,"Raoulia galea","accepted","Species","accepted","P.K.L. Ng & Rahayu, 2014","WoRMS"
"440905",0,"Malacostraca","Decapoda","Acidopsidae","Raoulia",NA,"limosa",NA,"Raoulia limosa","accepted","Species","accepted","P.K.L. Ng, 1987","WoRMS"
"877951",0,"Malacostraca","Decapoda","Acidopsidae","Raoulia",NA,"piroculata",NA,"Raoulia piroculata","accepted","Species","accepted","(Rathbun, 1911)","WoRMS"
"877950",0,"Malacostraca","Decapoda","Acidopsidae","Thecaplax",NA,"capillosa",NA,"Thecaplax capillosa","accepted","Species","accepted","P.K.L. Ng & Rahayu, 2014","WoRMS"
"241120",0,"Malacostraca","Decapoda","Acidopsidae","Typhlocarcinodes",NA,"integrifrons",NA,"Typhlocarcinodes integrifrons","accepted","Species","accepted","(Miers, 1881)","WoRMS"
"440251",0,"Malacostraca","Decapoda","Aethridae","Actaeomorpha",NA,"alvae",NA,"Actaeomorpha alvae","accepted","Species","accepted","Boone, 1934","WoRMS"
"209508",0,"Malacostraca","Decapoda","Aethridae","Actaeomorpha",NA,"erosa",NA,"Actaeomorpha erosa","accepted","Species","accepted","Miers, 1877","WoRMS"
"440252",0,"Malacostraca","Decapoda","Aethridae","Actaeomorpha",NA,"punctata",NA,"Actaeomorpha punctata","accepted","Species","accepted","Edmondson, 1935","WoRMS"
"440253",0,"Malacostraca","Decapoda","Aethridae","Aethra",NA,"edentata",NA,"Aethra edentata","accepted","Species","accepted","Edmondson, 1951","WoRMS"
"440254",0,"Malacostraca","Decapoda","Aethridae","Aethra",NA,"scruposa",NA,"Aethra scruposa","accepted","Species","accepted","(Linnaeus, 1764)","WoRMS"
"440255",0,"Malacostraca","Decapoda","Aethridae","Aethra",NA,"scutata",NA,"Aethra scutata","accepted","Species","accepted","Smith, 1869","WoRMS"
"440256",0,"Malacostraca","Decapoda","Aethridae","Aethra",NA,"seychellensis",NA,"Aethra seychellensis","accepted","Species","accepted","Takeda, 1975","WoRMS"
"440257",0,"Malacostraca","Decapoda","Aethridae","Drachiella",NA,"aglypha",NA,"Drachiella aglypha","accepted","Species","accepted","(Laurie, 1906)","WoRMS"
"440258",0,"Malacostraca","Decapoda","Aethridae","Drachiella",NA,"angulata",NA,"Drachiella angulata","accepted","Species","accepted","(Ihle, 1918)","WoRMS"
"440259",0,"Malacostraca","Decapoda","Aethridae","Drachiella",NA,"caelata",NA,"Drachiella caelata","accepted","Species","accepted","Takeda & Tachikawa, 1995","WoRMS"
"440260",0,"Malacostraca","Decapoda","Aethridae","Drachiella",NA,"lapillula",NA,"Drachiella lapillula","accepted","Species","accepted","(Alcock, 1896)","WoRMS"
"440261",0,"Malacostraca","Decapoda","Aethridae","Drachiella",NA,"morum",NA,"Drachiella morum","accepted","Species","accepted","(Alcock, 1896)","WoRMS"
"440262",0,"Malacostraca","Decapoda","Aethridae","Drachiella",NA,"sculpta",NA,"Drachiella sculpta","accepted","Species","accepted","(Haswell, 1879)","WoRMS"
"440263",0,"Malacostraca","Decapoda","Aethridae","Hepatella",NA,"amica",NA,"Hepatella amica","accepted","Species","accepted","Smith in Verrill, 1869","WoRMS"
"440264",0,"Malacostraca","Decapoda","Aethridae","Hepatella",NA,"peruviana",NA,"Hepatella peruviana","accepted","Species","accepted","Rathbun, 1933","WoRMS"
"440265",0,"Malacostraca","Decapoda","Aethridae","Hepatus",NA,"chiliensis",NA,"Hepatus chiliensis","accepted","Species","accepted","H. Milne Edwards, 1837","WoRMS"
"158420",0,"Malacostraca","Decapoda","Aethridae","Hepatus",NA,"epheliticus",NA,"Hepatus epheliticus","accepted","Species","accepted","(Linnaeus, 1763)","WoRMS"
"344728",0,"Malacostraca","Decapoda","Aethridae","Hepatus",NA,"gronovii",NA,"Hepatus gronovii","accepted","Species","accepted","Holthuis, 1959","WoRMS"
"440266",0,"Malacostraca","Decapoda","Aethridae","Hepatus",NA,"kossmanni",NA,"Hepatus kossmanni","accepted","Species","accepted","Neumann, 1878","WoRMS"
"440267",0,"Malacostraca","Decapoda","Aethridae","Hepatus",NA,"lineatus",NA,"Hepatus lineatus","accepted","Species","accepted","Rathbun, 1898","WoRMS"
"344730",0,"Malacostraca","Decapoda","Aethridae","Hepatus",NA,"pudibundus",NA,"Hepatus pudibundus","accepted","Species","accepted","(Herbst, 1758 [in Herbst, 1782-1790])","WoRMS"
"440268",0,"Malacostraca","Decapoda","Aethridae","Hepatus",NA,"scaber",NA,"Hepatus scaber","accepted","Species","accepted","Holthuis, 1959","WoRMS"
"440269",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"acuta",NA,"Osachila acuta","accepted","Species","accepted","Stimpson, 1871","WoRMS"
"421923",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"antillensis",NA,"Osachila antillensis","accepted","Species","accepted","Rathbun, 1916","WoRMS"
"440270",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"expansa",NA,"Osachila expansa","accepted","Species","accepted","Takeda, 1977","WoRMS"
"440271",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"galapagensis",NA,"Osachila galapagensis","accepted","Species","accepted","Rathbun, 1935","WoRMS"
"440272",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"kaiserae",NA,"Osachila kaiserae","accepted","Species","accepted","Zimmerman & Martin, 1999","WoRMS"
"440273",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"lata",NA,"Osachila lata","accepted","Species","accepted","Faxon, 1893","WoRMS"
"440274",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"levis",NA,"Osachila levis","accepted","Species","accepted","Rathbun, 1898","WoRMS"
"421924",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"semilevis",NA,"Osachila semilevis","accepted","Species","accepted","Rathbun, 1916","WoRMS"
"440275",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"sona",NA,"Osachila sona","accepted","Species","accepted","Garth, 1940","WoRMS"
"241046",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"stimpsonii",NA,"Osachila stimpsonii","accepted","Species","accepted","Studer, 1883","WoRMS"
"421925",0,"Malacostraca","Decapoda","Aethridae","Osachila",NA,"tuberosa",NA,"Osachila tuberosa","accepted","Species","accepted","Stimpson, 1871","WoRMS"
"241088",0,"Malacostraca","Decapoda","Aethridae","Sakaila",NA,"africana",NA,"Sakaila africana","accepted","Species","accepted","R.B. Manning & Holthuis, 1981","WoRMS"
