"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"241117",0,"Malacostraca","Decapoda","Acidopsidae","Acidops",NA,"cessacii",NA,"Acidops cessacii","accepted","Species","accepted","(A. Milne-Edwards, 1878)","WoRMS",NA,1
"440878",0,"Malacostraca","Decapoda","Acidopsidae","Acidops",NA,"fimbriatus",NA,"Acidops fimbriatus","accepted","Species","accepted","Stimpson, 1871","WoRMS",NA,2
"442625",0,"Malacostraca","Decapoda","Acidopsidae","Caecopilumnus",NA,"crassipes",NA,"Caecopilumnus crassipes","accepted","Species","accepted","(Tesch, 1918)","WoRMS",NA,3
"442626",0,"Malacostraca","Decapoda","Acidopsidae","Caecopilumnus",NA,"hirsutus",NA,"Caecopilumnus hirsutus","accepted","Species","accepted","Borradaile, 1902","WoRMS",NA,4
"877945",0,"Malacostraca","Decapoda","Acidopsidae","Caecopilumnus",NA,"loculatus",NA,"Caecopilumnus loculatus","accepted","Species","accepted","P.K.L. Ng & Rahayu, 2014","WoRMS",NA,5
"442627",29,"Malacostraca","Decapoda","Acidopsidae","Caecopilumnus",NA,"piroculatus",NA,"Caecopilumnus piroculatus","superseded combination","Species","synonym","(Rathbun, 1911)","WORMS","877951",6
"877944",0,"Malacostraca","Decapoda","Acidopsidae","Crinitocinus",NA,"alcocki",NA,"Crinitocinus alcocki","accepted","Species","accepted","(Borradaile, 1902)","WoRMS",NA,7
"452965",1,"Malacostraca","Decapoda","Acidopsidae","Epimelus",NA,"Cessacii",NA,"Epimelus Cessacii","unaccepted","Species","synonym","A. Milne-Edwards, 1878","WORMS","241117",8
"1384785",6906,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"boletifer",NA,"Parapilumnus boletifer","superseded combination","Species","synonym","Monod, 1956","WORMS","880690",9
"454595",7096,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"coralliophilus",NA,"Parapilumnus coralliophilus","superseded combination","Species","synonym","Takeda & Miyake, 1969","WORMS","442469",10
"440879",0,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"cristimanus",NA,"Parapilumnus cristimanus","accepted","Species","accepted","(A. Milne-Edwards, 1873)","WoRMS",NA,11
"454339",7265,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"euryfrons",NA,"Parapilumnus euryfrons","junior subjective synonym","Species","synonym","Garth & HS Kim, 1983","WORMS","442541",12
"454340",7066,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"guinotae",NA,"Parapilumnus guinotae","superseded combination","Species","synonym","Deb, 1987","WORMS","442458",13
"454341",7098,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"hondai",NA,"Parapilumnus hondai","unaccepted","Species","synonym","Takeda & Miyake, 1969","WORMS","442471",14
"454342",7445,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"incertus",NA,"Parapilumnus incertus","superseded combination","Species","synonym","Takeda & Miyake, 1969","WORMS","442612",15
"454343",7216,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"indicus",NA,"Parapilumnus indicus","superseded combination","Species","synonym","Deb, 1987","WORMS","442519",16
"454344",7388,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"leopoldi",NA,"Parapilumnus leopoldi","superseded combination","Species","synonym","Gordon, 1934","WORMS","442603",17
"233347",7067,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"malardi",NA,"Parapilumnus malardi","superseded combination","Species","synonym","(de Man, 1914)","WORMS","442459",18
"454345",6903,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"nefissurus",NA,"Parapilumnus nefissurus","superseded combination","Species","synonym","Garth & HS Kim, 1983","WORMS","442417",19
"440880",0,"Malacostraca","Decapoda","Acidopsidae","Parapilumnus",NA,"oryctos",NA,"Parapilumnus oryctos","accepted","Species","accepted","P.K.L. Ng, 2002","WoRMS",NA,20
