id,accid,canonical,authorship,taxon_rank,class,order,family,genus,subgenus,species,infraspecies,source,flags,valid,source_code,source_valid_code,type,marine,status
1,0,Acidops cessacii,"(A. Milne-Edwards, 1878)",Species,Malacostraca,Decapoda,Acidopsidae,Acidops,NA,cessacii,NA,WoRMS,NA,TRUE,241117,NA,accepted,1,accepted
2,0,Acidops fimbriatus,"Stimpson, 1871",Species,Malacostraca,Decapoda,Acidopsidae,Acidops,NA,fimbriatus,NA,WoRMS,NA,TRUE,440878,NA,accepted,1,accepted
3,0,Caecopilumnus crassipes,"(Tesch, 1918)",Species,Malacostraca,Decapoda,Acidopsidae,Caecopilumnus,NA,crassipes,NA,WoRMS,NA,TRUE,442625,NA,accepted,1,accepted
4,0,Caecopilumnus hirsutus,"Borradaile, 1902",Species,Malacostraca,Decapoda,Acidopsidae,Caecopilumnus,NA,hirsutus,NA,WoRMS,NA,TRUE,442626,NA,accepted,1,accepted
5,0,Caecopilumnus loculatus,"P.K.L. Ng & Rahayu, 2014",Species,Malacostraca,Decapoda,Acidopsidae,Caecopilumnus,NA,loculatus,NA,WoRMS,NA,TRUE,877945,NA,accepted,1,accepted
6,29,Caecopilumnus piroculatus,"(Rathbun, 1911)",Species,Malacostraca,Decapoda,Acidopsidae,Caecopilumnus,NA,piroculatus,NA,WORMS,NA,FALSE,442627,877951,synonym,1,superseded combination
7,0,Crinitocinus alcocki,"(Borradaile, 1902)",Species,Malacostraca,Decapoda,Acidopsidae,Crinitocinus,NA,alcocki,NA,WoRMS,NA,TRUE,877944,NA,accepted,1,accepted
8,1,Epimelus Cessacii,"A. Milne-Edwards, 1878",Species,Malacostraca,Decapoda,Acidopsidae,Epimelus,NA,Cessacii,NA,WORMS,NA,FALSE,452965,241117,synonym,1,superseded combination
9,7098,Parapilumnus boletifer,"Monod, 1956",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,boletifer,NA,WORMS,NA,FALSE,1384785,880690,synonym,1,superseded combination
10,7292,Parapilumnus coralliophilus,"Takeda & Miyake, 1969",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,coralliophilus,NA,WORMS,NA,FALSE,454595,442469,synonym,1,superseded combination
11,0,Parapilumnus cristimanus,"(A. Milne-Edwards, 1873)",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,cristimanus,NA,WoRMS,NA,TRUE,440879,NA,accepted,1,accepted
12,7468,Parapilumnus euryfrons,"Garth & HS Kim, 1983",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,euryfrons,NA,WORMS,NA,FALSE,454339,442541,synonym,1,junior subjective synonym
13,7262,Parapilumnus guinotae,"Deb, 1987",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,guinotae,NA,WORMS,NA,FALSE,454340,442458,synonym,1,superseded combination
14,7294,Parapilumnus hondai,"Takeda & Miyake, 1969",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,hondai,NA,WORMS,NA,FALSE,454341,442471,synonym,1,superseded combination
15,7651,Parapilumnus incertus,"Takeda & Miyake, 1969",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,incertus,NA,WORMS,NA,FALSE,454342,442612,synonym,1,superseded combination
16,7418,Parapilumnus indicus,"Deb, 1987",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,indicus,NA,WORMS,NA,FALSE,454343,442519,synonym,1,superseded combination
17,7594,Parapilumnus leopoldi,"Gordon, 1934",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,leopoldi,NA,WORMS,NA,FALSE,454344,442603,synonym,1,superseded combination
18,7263,Parapilumnus malardi,"(De Man, 1914)",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,malardi,NA,WORMS,NA,FALSE,233347,442459,synonym,1,superseded combination
19,7095,Parapilumnus nefissurus,"Garth & HS Kim, 1983",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,nefissurus,NA,WORMS,NA,FALSE,454345,442417,synonym,1,superseded combination
20,0,Parapilumnus oryctos,"P.K.L. Ng, 2002",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,oryctos,NA,WoRMS,NA,TRUE,440880,NA,accepted,1,accepted
21,7595,Parapilumnus pisifer,"(McLeay, 1838)",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,pisifer,NA,WORMS,NA,FALSE,217291,241153,synonym,1,superseded combination
22,7096,Parapilumnus quadridentatus,"(De Man, 1895)",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,quadridentatus,NA,WORMS,NA,FALSE,217292,442416,synonym,1,superseded combination
23,7555,Parapilumnus trispinosus,"T. Sakai, 1965",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,trispinosus,NA,WORMS,NA,FALSE,454346,442591,synonym,1,superseded combination
24,7265,Parapilumnus tuberculosus,"Garth & HS Kim, 1983",Species,Malacostraca,Decapoda,Acidopsidae,Parapilumnus,NA,tuberculosus,NA,WORMS,NA,FALSE,454347,442461,synonym,1,superseded combination
25,0,Raoulia calva,"P.K.L. Ng & Rahayu, 2014",Species,Malacostraca,Decapoda,Acidopsidae,Raoulia,NA,calva,NA,WoRMS,NA,TRUE,877946,NA,accepted,1,accepted
26,0,Raoulia fortis,"P.K.L. Ng & Rahayu, 2014",Species,Malacostraca,Decapoda,Acidopsidae,Raoulia,NA,fortis,NA,WoRMS,NA,TRUE,877947,NA,accepted,1,accepted
27,0,Raoulia galea,"P.K.L. Ng & Rahayu, 2014",Species,Malacostraca,Decapoda,Acidopsidae,Raoulia,NA,galea,NA,WoRMS,NA,TRUE,877948,NA,accepted,1,accepted
28,0,Raoulia limosa,"P.K.L. Ng, 1987",Species,Malacostraca,Decapoda,Acidopsidae,Raoulia,NA,limosa,NA,WoRMS,NA,TRUE,440905,NA,accepted,1,accepted
29,0,Raoulia piroculata,"(Rathbun, 1911)",Species,Malacostraca,Decapoda,Acidopsidae,Raoulia,NA,piroculata,NA,WoRMS,NA,TRUE,877951,NA,accepted,1,accepted
30,0,Thecaplax capillosa,"P.K.L. Ng & Rahayu, 2014",Species,Malacostraca,Decapoda,Acidopsidae,Thecaplax,NA,capillosa,NA,WoRMS,NA,TRUE,877950,NA,accepted,1,accepted
31,3,Typhlocarcinodes crassipes,"Tesch, 1918",Species,Malacostraca,Decapoda,Acidopsidae,Typhlocarcinodes,NA,crassipes,NA,WORMS,NA,FALSE,455896,442625,synonym,1,superseded combination
32,4,Typhlocarcinodes hirsutus,"(Borradaile, 1902)",Species,Malacostraca,Decapoda,Acidopsidae,Typhlocarcinodes,NA,hirsutus,NA,WORMS,NA,FALSE,1474861,442626,synonym,1,superseded combination
33,34,Typhlocarcinodes integifrons,"(Miers, 1881)",Species,Malacostraca,Decapoda,Acidopsidae,Typhlocarcinodes,NA,integifrons,NA,WORMS,NA,FALSE,440906,241120,synonym,1,misspelling
34,0,Typhlocarcinodes integrifrons,"(Miers, 1881)",Species,Malacostraca,Decapoda,Acidopsidae,Typhlocarcinodes,NA,integrifrons,NA,WoRMS,NA,TRUE,241120,NA,accepted,1,accepted
35,29,Typhlocarcinodes piroculatus,"(Rathbun, 1911)",Species,Malacostraca,Decapoda,Acidopsidae,Typhlocarcinodes,NA,piroculatus,NA,WORMS,NA,FALSE,217301,877951,synonym,1,superseded combination
36,0,Actaeomorpha alvae,"Boone, 1934",Species,Malacostraca,Decapoda,Aethridae,Actaeomorpha,NA,alvae,NA,WoRMS,NA,TRUE,440251,NA,accepted,1,accepted
37,47,Actaeomorpha angulata,"Ihle, 1918",Species,Malacostraca,Decapoda,Aethridae,Actaeomorpha,NA,angulata,NA,WORMS,NA,FALSE,451918,440258,synonym,1,unaccepted
38,0,Actaeomorpha erosa,"Miers, 1877",Species,Malacostraca,Decapoda,Aethridae,Actaeomorpha,NA,erosa,NA,WoRMS,NA,TRUE,209508,NA,accepted,1,accepted
39,49,Actaeomorpha lapillulus,"Alcock, 1896",Species,Malacostraca,Decapoda,Aethridae,Actaeomorpha,NA,lapillulus,NA,WORMS,NA,FALSE,451919,440260,synonym,1,superseded combination
40,50,Actaeomorpha morum,"Alcock, 1896",Species,Malacostraca,Decapoda,Aethridae,Actaeomorpha,NA,morum,NA,WORMS,NA,FALSE,451920,440261,synonym,1,superseded combination
41,0,Actaeomorpha punctata,"Edmondson, 1935",Species,Malacostraca,Decapoda,Aethridae,Actaeomorpha,NA,punctata,NA,WoRMS,NA,TRUE,440252,NA,accepted,1,accepted
42,0,Aethra edentata,"Edmondson, 1951",Species,Malacostraca,Decapoda,Aethridae,Aethra,NA,edentata,NA,WoRMS,NA,TRUE,440253,NA,accepted,1,accepted
43,0,Aethra scruposa,"(Linnaeus, 1764)",Species,Malacostraca,Decapoda,Aethridae,Aethra,NA,scruposa,NA,WoRMS,NA,TRUE,440254,NA,accepted,1,accepted
44,0,Aethra scutata,"Smith, 1869",Species,Malacostraca,Decapoda,Aethridae,Aethra,NA,scutata,NA,WoRMS,NA,TRUE,440255,NA,accepted,1,accepted
45,0,Aethra seychellensis,"Takeda, 1975",Species,Malacostraca,Decapoda,Aethridae,Aethra,NA,seychellensis,NA,WoRMS,NA,TRUE,440256,NA,accepted,1,accepted
46,0,Drachiella aglypha,"(Laurie, 1906)",Species,Malacostraca,Decapoda,Aethridae,Drachiella,NA,aglypha,NA,WoRMS,NA,TRUE,440257,NA,accepted,1,accepted
47,0,Drachiella angulata,"(Ihle, 1918)",Species,Malacostraca,Decapoda,Aethridae,Drachiella,NA,angulata,NA,WoRMS,NA,TRUE,440258,NA,accepted,1,accepted
48,0,Drachiella caelata,"Takeda & Tachikawa, 1995",Species,Malacostraca,Decapoda,Aethridae,Drachiella,NA,caelata,NA,WoRMS,NA,TRUE,440259,NA,accepted,1,accepted
49,0,Drachiella lapillula,"(Alcock, 1896)",Species,Malacostraca,Decapoda,Aethridae,Drachiella,NA,lapillula,NA,WoRMS,NA,TRUE,440260,NA,accepted,1,accepted
50,0,Drachiella morum,"(Alcock, 1896)",Species,Malacostraca,Decapoda,Aethridae,Drachiella,NA,morum,NA,WoRMS,NA,TRUE,440261,NA,accepted,1,accepted
51,0,Drachiella sculpta,"(Haswell, 1879)",Species,Malacostraca,Decapoda,Aethridae,Drachiella,NA,sculpta,NA,WoRMS,NA,TRUE,440262,NA,accepted,1,accepted
52,0,Hepatella amica,"Smith in Verrill, 1869",Species,Malacostraca,Decapoda,Aethridae,Hepatella,NA,amica,NA,WoRMS,NA,TRUE,440263,NA,accepted,1,accepted
53,0,Hepatella peruviana,"Rathbun, 1933",Species,Malacostraca,Decapoda,Aethridae,Hepatella,NA,peruviana,NA,WoRMS,NA,TRUE,440264,NA,accepted,1,accepted
