;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
1;452965;NA;Malacostraca;Decapoda;Acidopsidae;Epimelus;NA;Cessacii;NA;Epimelus Cessacii;unaccepted;Species;synonym;A. Milne-Edwards, 1878;WORMS;241117
2;455896;NA;Malacostraca;Decapoda;Acidopsidae;Typhlocarcinodes;NA;crassipes;NA;Typhlocarcinodes crassipes;unaccepted;Species;synonym;Tesch, 1918;WORMS;442625
3;1474861;NA;Malacostraca;Decapoda;Acidopsidae;Typhlocarcinodes;NA;hirsutus;NA;Typhlocarcinodes hirsutus;unaccepted;Species;synonym;(Borradaile, 1902);WORMS;442626
4;442489;NA;Malacostraca;Decapoda;Pilumnidae;Pilumnus;NA;alcocki;NA;Pilumnus alcocki;unaccepted;Species;synonym;Borradaile, 1902;WORMS;877944
5;454596;NA;Malacostraca;Decapoda;Pilumnidae;Pilumnus;NA;cristimanus;NA;Pilumnus cristimanus;unaccepted;Species;synonym;A. Milne-Edwards, 1873;WORMS;440879
6;442627;NA;Malacostraca;Decapoda;Acidopsidae;Caecopilumnus;NA;piroculatus;NA;Caecopilumnus piroculatus;superseded combination;Species;synonym;(Rathbun, 1911);WORMS;877951
7;217301;NA;Malacostraca;Decapoda;Acidopsidae;Typhlocarcinodes;NA;piroculatus;NA;Typhlocarcinodes piroculatus;superseded combination;Species;synonym;(Rathbun, 1911);WORMS;877951
8;455898;NA;Malacostraca;Decapoda;Pilumnidae;Typhlocarcinops;NA;piroculata;NA;Typhlocarcinops piroculata;unaccepted;Species;synonym;Rathbun, 1911;WORMS;877951
9;440906;NA;Malacostraca;Decapoda;Acidopsidae;Typhlocarcinodes;NA;integifrons;NA;Typhlocarcinodes integifrons;misspelling;Species;synonym;(Miers, 1881);WORMS;241120
10;455899;NA;Malacostraca;Decapoda;Pilumnidae;Typhlocarcinus;NA;integrifrons;NA;Typhlocarcinus integrifrons;unaccepted;Species;synonym;Miers, 1881;WORMS;241120
11;452051;NA;Malacostraca;Decapoda;Calappidae;Calappa;NA;depressa;NA;Calappa depressa;unaccepted;Species;synonym;Latreille in Milbert, 1812;WORMS;440254
12;452336;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;polynome;NA;Cancer polynome;unaccepted;Species;synonym;Herbst, 1801 [in Herbst, 1799-1804];WORMS;440254
13;452373;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;scruposa;NA;Cancer scruposa;unaccepted;Species;synonym;Linnaeus, 1764;WORMS;440254
