Family,Genus,Subgenus,ScientificName,Species,SubSpecies,taxonRank_gbif,taxonomicStatus_gbif,taxonRank_corr,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
"""Gecarcinucidae""","""Austrothelphusa""",NA,"""Austrothelphusa transversa""","""transversa""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440600,exact,Checked by Taxonomic Editor,accepted,Austrothelphusa transversa,"(von Martens, 1868)",440600,Austrothelphusa transversa,"(von Martens, 1868)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Austrothelphusa,,transversa,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Austrothelphusa""",NA,"""Austrothelphusa raceki""","""raceki""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440598,exact,Checked by Taxonomic Editor,accepted,Austrothelphusa raceki,"(Bishop, 1963)",440598,Austrothelphusa raceki,"(Bishop, 1963)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Austrothelphusa,,raceki,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Austrothelphusa""",NA,"""Austrothelphusa agassizi""","""agassizi""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440595,exact,Checked by Taxonomic Editor,accepted,Austrothelphusa agassizi,"(Rathbun, 1905)",440595,Austrothelphusa agassizi,"(Rathbun, 1905)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Austrothelphusa,,agassizi,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Parathelphusa""",NA,"""Parathelphusa convexa""","""convexa""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440703,exact,Checked by Taxonomic Editor,accepted,Parathelphusa convexa,"de Man, 1879",440703,Parathelphusa convexa,"de Man, 1879",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Parathelphusa,,convexa,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Terrathelphusa""",NA,"""Terrathelphusa chilensis""","""chilensis""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440862,exact,Checked by Taxonomic Editor,accepted,Terrathelphusa chilensis,"(Heller, 1862)",440862,Terrathelphusa chilensis,"(Heller, 1862)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Terrathelphusa,,chilensis,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Parathelphusa""",NA,"""Parathelphusa tridentata""","""tridentata""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440740,exact,Checked by Taxonomic Editor,accepted,Parathelphusa tridentata,"H. Milne Edwards, 1853",440740,Parathelphusa tridentata,"H. Milne Edwards, 1853",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Parathelphusa,,tridentata,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Ceylonthelphusa""",NA,"""Ceylonthelphusa sanguinea""","""sanguinea""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440622,exact,Checked by Taxonomic Editor,accepted,Ceylonthelphusa sanguinea,"(P.K.L. Ng, 1995)",440622,Ceylonthelphusa sanguinea,"(P.K.L. Ng, 1995)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Ceylonthelphusa,,sanguinea,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sundathelphusa""",NA,"""Sundathelphusa mistio""","""mistio""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440846,exact,Checked by Taxonomic Editor,accepted,Sundathelphusa mistio,"(Rathbun, 1904)",440846,Sundathelphusa mistio,"(Rathbun, 1904)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sundathelphusa,,mistio,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Somanniathelphusa""",NA,"""Somanniathelphusa sinensis""","""sinensis""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440817,exact,Checked by Taxonomic Editor,accepted,Somanniathelphusa sinensis,"(H. Milne Edwards, 1853)",440817,Somanniathelphusa sinensis,"(H. Milne Edwards, 1853)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Somanniathelphusa,,sinensis,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Clinothelphusa""",NA,"""Clinothelphusa kakoota""","""kakoota""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440627,exact,Checked by Taxonomic Editor,accepted,Clinothelphusa kakoota,"P.K.L. Ng & Tay, 2001",440627,Clinothelphusa kakoota,"P.K.L. Ng & Tay, 2001",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Clinothelphusa,,kakoota,,0,0,1,0,,not marine,,fuzzyWORMS,,
