"""AphiaID""","""order""","""family""","""genus""","""subgenus""","""species""","""subspecies""","""scientificnameauthorship""","""scientificname""","""taxonrank""",...11,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
241193,"""Decapoda""","""Ocypodidae""","""Ocypode""","""Ocypode (Cardisoma)""","""Ocypode (Cardisoma) armatum""","""""","""""","""Ocypode (Cardisoma) armatum""","""Species""",NA,241193,exact,Checked by Taxonomic Editor,superseded combination,Ocypode (Cardisoma) armatum,"Herklots, 1851",1478169,Cardisoma armatum,"(Herklots, 1851)",Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Ocypode,Cardisoma,armatum,NA,1,0,0,0,,superseded combination,,fuzzyWORMS,,
241193,"""Decapoda""","""Ocypodidae""","""Ocypode""","""Ocypode (Cardisoma)""","""Ocypode (Cardisoma) armatum""","""""","""Herklots, 1851""","""Ocypode (Cardisoma) armatum""","""Species""",NA,241193,exact,Checked by Taxonomic Editor,superseded combination,Ocypode (Cardisoma) armatum,"Herklots, 1851",1478169,Cardisoma armatum,"(Herklots, 1851)",Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Ocypode,Cardisoma,armatum,NA,1,0,0,0,,superseded combination,,fuzzyWORMS,,
205627,"""Decapoda""","""Dairoididae""","""Dairoides""","""""","""""","""""","""Stebbing, 1920""","""Dairoides""","""""",NA,205627,exact_subgenus,Checked by Taxonomic Editor,accepted,Dairoides,"Stebbing, 1920",205627,Dairoides,"Stebbing, 1920",Animalia,Arthropoda,Malacostraca,Decapoda,Dairoididae,Dairoides,NA,NA,NA,1,0,0,0,,missing species,,fuzzyWORMS,,
158047,"""Decapoda""","""Sesarmidae""","""""","""""","""""","""""","""""","""Sesarmidae""","""""",NA,158047,exact_subgenus,Checked by Taxonomic Editor,accepted,Sesarmidae,"Dana, 1851",158047,Sesarmidae,"Dana, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,NA,NA,NA,NA,1,1,1,1,,missing species,,fuzzyWORMS,,
158047,"""Decapoda""","""Sesarmidae""","""""","""""","""""","""""",NA,"""Sesarmidae""","""""",NA,158047,exact_subgenus,Checked by Taxonomic Editor,accepted,Sesarmidae,"Dana, 1851",158047,Sesarmidae,"Dana, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,NA,NA,NA,NA,1,1,1,1,,missing species,,fuzzyWORMS,,
158047,"""Decapoda""","""Sesarmidae""","""""","""""","""""","""""","""Dana, 1851""","""Sesarmidae""","""""",NA,158047,exact_subgenus,Checked by Taxonomic Editor,accepted,Sesarmidae,"Dana, 1851",158047,Sesarmidae,"Dana, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,NA,NA,NA,NA,1,1,1,1,,missing species,,fuzzyWORMS,,
378420,"""Decapoda""","""Ocypodidae""","""Gelasimus""","""""","""Gelasimus rubripes""","""""","""""","""Gelasimus rubripes""","""Species""",NA,378420,exact_subgenus,Checked by Taxonomic Editor,taxon inquirendum,Gelasimus rubripes,"Hombron & Jacquinot, 1846",378420,Gelasimus rubripes,"Hombron & Jacquinot, 1846",Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Gelasimus,NA,rubripes,NA,1,NA,NA,NA,,taxon inquirendum,,fuzzyWORMS,,
454888,"""Decapoda""","""Portunidae""","""Portunus""","""""","""Portunus hastatoides""","""""","""""","""Portunus hastatoides""","""Species""",NA,208792,exact,Checked by Taxonomic Editor,unaccepted,Portunus (Xiphonectes) hastatoides,"Fabricius, 1798",1061721,Xiphonectes hastatoides,"(JC Fabricius, 1798)",Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Xiphonectes,hastatoides,NA,1,0,0,0,,unaccepted,,fuzzyWORMS,,
454888,"""Decapoda""","""Portunidae""","""Portunus""","""""","""Portunus hastatoides""","""""","""(Fabricius, 1798)""","""Portunus hastatoides""","""Species""",NA,208792,exact,Checked by Taxonomic Editor,unaccepted,Portunus (Xiphonectes) hastatoides,"Fabricius, 1798",1061721,Xiphonectes hastatoides,"(JC Fabricius, 1798)",Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Xiphonectes,hastatoides,NA,1,0,0,0,,unaccepted,,fuzzyWORMS,,
454888,"""Decapoda""","""Portunidae""","""Portunus""","""""","""Portunus hastatoides""","""""","""Fabricius, 1798""","""Portunus hastatoides""","""Species""",NA,208792,exact,Checked by Taxonomic Editor,unaccepted,Portunus (Xiphonectes) hastatoides,"Fabricius, 1798",1061721,Xiphonectes hastatoides,"(JC Fabricius, 1798)",Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Xiphonectes,hastatoides,NA,1,0,0,0,,unaccepted,,fuzzyWORMS,,
205638,"""Decapoda""","""Iphiculidae""","""Iphiculus""","""""","""""","""""","""""","""Iphiculus""","""""",NA,205638,exact_subgenus,Checked by Taxonomic Editor,accepted,Iphiculus,"Adams & White, 1849",205638,Iphiculus,"Adams & White, 1849",Animalia,Arthropoda,Malacostraca,Decapoda,Iphiculidae,Iphiculus,NA,NA,NA,1,NA,NA,NA,,missing species,,fuzzyWORMS,,
444447,"""Decapoda""","""Gecarcinidae""","""Epigrapsus""","""""","""Epigrapsus notatus""","""""","""(Heller, 1865)""","""Epigrapsus notatus""","""Species""",NA,456079,exact,Checked by Taxonomic Editor,superseded combination,Epigrapsus (Grapsodes) notatus,"(Heller, 1865)",444447,Epigrapsus notatus,"(Heller, 1865)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Epigrapsus,Grapsodes,notatus,NA,0,0,0,1,,superseded combination,,fuzzyWORMS,,
