"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","ScientificName","taxonomicStatus","taxonRank","type","authorship","source"
"387505",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"bulla",NA,"Albunea bulla","accepted","Species","accepted","Boyko, 2002","WoRMS"
"107191",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"carabus",NA,"Albunea carabus","accepted","Species","accepted","(Linnaeus, 1758)","WoRMS"
"387506",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"catherinae",NA,"Albunea catherinae","accepted","Species","accepted","Boyko, 2002","WoRMS"
"467795",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"danai",NA,"Albunea danai","accepted","Species","accepted","Boyko, 1999","WoRMS"
"467802",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"elegans",NA,"Albunea elegans","accepted","Species","accepted","A. Milne-Edwards & Bouvier, 1898","WoRMS"
"467790",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"elioti",NA,"Albunea elioti","accepted","Species","accepted","Benedict, 1904","WoRMS"
"387507",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"galapagensis",NA,"Albunea galapagensis","accepted","Species","accepted","Boyko, 2002","WoRMS"
"421880",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"gibbesii",NA,"Albunea gibbesii","accepted","Species","accepted","Stimpson, 1859","WoRMS"
"467798",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"groeningi",NA,"Albunea groeningi","accepted","Species","accepted","Boyko, 2002","WoRMS"
"467797",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"holthuisi",NA,"Albunea holthuisi","accepted","Species","accepted","Boyko & Harvey, 1999","WoRMS"
"467803",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"lucasia",NA,"Albunea lucasia","accepted","Species","accepted","de Saussure, 1853","WoRMS"
"467796",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"marquisiana",NA,"Albunea marquisiana","accepted","Species","accepted","Boyko, 2000","WoRMS"
"467789",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"microps",NA,"Albunea microps","accepted","Species","accepted","Miers, 1878","WoRMS"
"467704",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"occulta",NA,"Albunea occulta","accepted","Species","accepted","Boyko, 2002","WoRMS"
"467706",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"okinawaensis",NA,"Albunea okinawaensis","accepted","Species","accepted","Osawa & Fujita, 2007","WoRMS"
"107192",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"paretii",NA,"Albunea paretii","accepted","Species","accepted","Guérin-Méneville, 1853","WoRMS"
"210324",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"speciosa",NA,"Albunea speciosa","accepted","Species","accepted","Dana, 1852","WoRMS"
"210325",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"steinitzi",NA,"Albunea steinitzi","accepted","Species","accepted","Holthuis, 1958","WoRMS"
"467703",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"symmysta",NA,"Albunea symmysta","accepted","Species","accepted","(Linnaeus, 1758)","WoRMS"
"210323",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"thurstoni",NA,"Albunea thurstoni","accepted","Species","accepted","Henderson, 1893","WoRMS"
"467725",0,"Malacostraca","Decapoda","Albuneidae","Austrolepidopa",NA,"caledonia",NA,"Austrolepidopa caledonia","accepted","Species","accepted","Boyko & Harvey, 1999","WoRMS"
"467724",0,"Malacostraca","Decapoda","Albuneidae","Austrolepidopa",NA,"schmitti",NA,"Austrolepidopa schmitti","accepted","Species","accepted","Efford & Haig, 1968","WoRMS"
"467726",0,"Malacostraca","Decapoda","Albuneidae","Austrolepidopa",NA,"trigonops",NA,"Austrolepidopa trigonops","accepted","Species","accepted","Efford & Haig, 1968","WoRMS"
"421881",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"benedicti",NA,"Lepidopa benedicti","accepted","Species","accepted","Schmitt, 1935","WoRMS"
"1392501",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"boykoi",NA,"Lepidopa boykoi","accepted","Species","accepted","Ortiz, Tello-Musi & Morales-Moreno, 2018","WoRMS"
"467745",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"californica",NA,"Lepidopa californica","accepted","Species","accepted","Efford, 1971","WoRMS"
"467744",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"chilensis",NA,"Lepidopa chilensis","accepted","Species","accepted","Lenz, 1902","WoRMS"
"467748",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"deamae",NA,"Lepidopa deamae","accepted","Species","accepted","Benedict, 1903","WoRMS"
"467743",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"dexterae",NA,"Lepidopa dexterae","accepted","Species","accepted","Abele & Efford, 1972","WoRMS"
"467741",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"esposa",NA,"Lepidopa esposa","accepted","Species","accepted","Efford, 1971","WoRMS"
"467746",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"haigae",NA,"Lepidopa haigae","accepted","Species","accepted","Efford, 1971","WoRMS"
"467738",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"luciae",NA,"Lepidopa luciae","accepted","Species","accepted","Boyko, 2002","WoRMS"
"467747",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"mearnsi",NA,"Lepidopa mearnsi","accepted","Species","accepted","Benedict, 1903","WoRMS"
"467739",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"mexicana",NA,"Lepidopa mexicana","accepted","Species","accepted","Efford, 1971","WoRMS"
"421882",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"richmondi",NA,"Lepidopa richmondi","accepted","Species","accepted","Benedict, 1903","WoRMS"
"467742",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"venusta",NA,"Lepidopa venusta","accepted","Species","accepted","Stimpson, 1859","WoRMS"
"158396",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"websteri",NA,"Lepidopa websteri","accepted","Species","accepted","Benedict, 1903","WoRMS"
"467740",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"wollebaeki",NA,"Lepidopa wollebaeki","accepted","Species","accepted","Sivertsen, 1933","WoRMS"
"467728",0,"Malacostraca","Decapoda","Albuneidae","Leucolepidopa",NA,"sunda",NA,"Leucolepidopa sunda","accepted","Species","accepted","Efford, 1969","WoRMS"
"1436714",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"chani",NA,"Paralbunea chani","accepted","Species","accepted","Boyko, 2020","WoRMS"
"1436715",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"chirotheca",NA,"Paralbunea chirotheca","accepted","Species","accepted","Boyko, 2020","WoRMS"
"467762",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"dayriti",NA,"Paralbunea dayriti","accepted","Species","accepted","(Serène & Umali, 1965)","WoRMS"
"467757",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"intermedia",NA,"Paralbunea intermedia","accepted","Species","accepted","(Balss, 1916)","WoRMS"
"220566",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"manihinei",NA,"Paralbunea manihinei","accepted","Species","accepted","Serène, 1977","WoRMS"
"467760",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"paradoxa",NA,"Paralbunea paradoxa","accepted","Species","accepted","(Gordon, 1938)","WoRMS"
"689414",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"takedai",NA,"Paralbunea takedai","accepted","Species","accepted","Osawa & Fujita, 2012","WoRMS"
"467737",0,"Malacostraca","Decapoda","Albuneidae","Paraleucolepidopa",NA,"distincta",NA,"Paraleucolepidopa distincta","accepted","Species","accepted","(Gomes Corrêa, 1968)","WoRMS"
"467733",0,"Malacostraca","Decapoda","Albuneidae","Paraleucolepidopa",NA,"myops",NA,"Paraleucolepidopa myops","accepted","Species","accepted","(Stimpson, 1860)","WoRMS"
"504154",0,"Malacostraca","Decapoda","Albuneidae","Squillalbunea",NA,"scutelloides",NA,"Squillalbunea scutelloides","accepted","Species","accepted","(Garstang, 1897)","WoRMS"
"467774",0,"Malacostraca","Decapoda","Albuneidae","Stemonopa",NA,"insignis",NA,"Stemonopa insignis","accepted","Species","accepted","Efford & Haig, 1968","WoRMS"
"872751",0,"Malacostraca","Decapoda","Albuneidae","Zygopa",NA,"lalanai",NA,"Zygopa lalanai","accepted","Species","accepted","Ortiz, 2015","WoRMS"
"421883",0,"Malacostraca","Decapoda","Albuneidae","Zygopa",NA,"michaelis",NA,"Zygopa michaelis","accepted","Species","accepted","Holthuis, 1961","WoRMS"
"467763",0,"Malacostraca","Decapoda","Albuneidae","Zygopa",NA,"nortoni",NA,"Zygopa nortoni","accepted","Species","accepted","Serène & Umali, 1965","WoRMS"
"467719",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"doelloi",NA,"Blepharipoda doelloi","accepted","Species","accepted","Schmitt, 1942","WoRMS"
"467720",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"liberata",NA,"Blepharipoda liberata","accepted","Species","accepted","Shen, 1949","WoRMS"
"467717",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"occidentalis",NA,"Blepharipoda occidentalis","accepted","Species","accepted","Randall, 1840","WoRMS"
"467718",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"spinosa",NA,"Blepharipoda spinosa","accepted","Species","accepted","(H. Milne Edwards & Lucas, 1841)","WoRMS"
"467714",0,"Malacostraca","Decapoda","Blepharipodidae","Lophomastix",NA,"diomedeae",NA,"Lophomastix diomedeae","accepted","Species","accepted","Benedict, 1904","WoRMS"
"467705",0,"Malacostraca","Decapoda","Blepharipodidae","Lophomastix",NA,"japonica",NA,"Lophomastix japonica","accepted","Species","accepted","(Duruflé, 1889)","WoRMS"
"367399",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"bredini",NA,"Allodardanus bredini","accepted","Species","accepted","Haig & Provenzano, 1965","WoRMS"
"367400",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"midas",NA,"Allodardanus midas","accepted","Species","accepted","McLaughlin & Gore, 1985","WoRMS"
"367401",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"rugosus",NA,"Allodardanus rugosus","accepted","Species","accepted","Haig & Provenzano, 1965","WoRMS"
"208666",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"aniculus",NA,"Aniculus aniculus","accepted","Species","accepted","(JC Fabricius, 1787)","WoRMS"
"367402",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"elegans",NA,"Aniculus elegans","accepted","Species","accepted","Stimpson, 1858","WoRMS"
"208662",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"erythraeus",NA,"Aniculus erythraeus","accepted","Species","accepted","Forest, 1984","WoRMS"
"367403",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"hopperae",NA,"Aniculus hopperae","accepted","Species","accepted","McLaughlin & Hoover, 1996","WoRMS"
"208664",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"maximus",NA,"Aniculus maximus","accepted","Species","accepted","Edmondson, 1952","WoRMS"
"367404",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"miyakei",NA,"Aniculus miyakei","accepted","Species","accepted","Forest, 1984","WoRMS"
"208663",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"retipes",NA,"Aniculus retipes","accepted","Species","accepted","Lewinsohn, 1982","WoRMS"
"367405",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"sibogae",NA,"Aniculus sibogae","accepted","Species","accepted","Forest, 1984","WoRMS"
"208665",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"ursus",NA,"Aniculus ursus","accepted","Species","accepted","(Olivier, 1812)","WoRMS"
"212488",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"albicinctus",NA,"Bathynarius albicinctus","accepted","Species","accepted","(Alcock, 1905)","WoRMS"
"367406",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"anomalus",NA,"Bathynarius anomalus","accepted","Species","accepted","(A. Milne-Edwards & Bouvier, 1893)","WoRMS"
"367407",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"izuensis",NA,"Bathynarius izuensis","accepted","Species","accepted","Komai & Takeda, 2004","WoRMS"
"367408",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"pacificus",NA,"Bathynarius pacificus","accepted","Species","accepted","Forest, 1993","WoRMS"
"212489",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"wolffi",NA,"Bathynarius wolffi","accepted","Species","accepted","Forest, 1993","WoRMS"
"367430",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"albengai",NA,"Calcinus albengai","accepted","Species","accepted","Poupin & Lemaitre, 2003","WoRMS"
"367431",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"anani",NA,"Calcinus anani","accepted","Species","accepted","Poupin & McLaughlin, 1998","WoRMS"
"367432",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"argus",NA,"Calcinus argus","accepted","Species","accepted","Wooster, 1984","WoRMS"
"367433",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"californiensis",NA,"Calcinus californiensis","accepted","Species","accepted","Bouvier, 1898","WoRMS"
