"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"467813",20,"Malacostraca","Decapoda","Albuneidae","Albuminea",NA,"Lucasia",NA,"Albuminea Lucasia","unaccepted","Species","synonym","de Saussure, 1853","WORMS","467803",1
"868225",15,"Malacostraca","Decapoda","Albuneidae","Albunaea",NA,"gibbesi",NA,"Albunaea gibbesi","unaccepted","Species","synonym","Stimpson, 1858","WORMS","421880",2
"868224",15,"Malacostraca","Decapoda","Albuneidae","Albunaea",NA,"gibbesii",NA,"Albunaea gibbesii","unaccepted","Species","synonym","Stimpson, 1859","WORMS","421880",3
"868327",34,"Malacostraca","Decapoda","Albuneidae","Albunaea",NA,"speciosa",NA,"Albunaea speciosa","unaccepted","Species","synonym","Dana, 1852","WORMS","210324",4
"467756",7,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"barbara",NA,"Albunea barbara","unaccepted","Species","synonym","Ortmann, 1896","WORMS","107191",5
"387505",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"bulla",NA,"Albunea bulla","accepted","Species","accepted","Boyko, 2002","WoRMS",NA,6
"107191",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"carabus",NA,"Albunea carabus","accepted","Species","accepted","(Linnaeus, 1758)","WoRMS",NA,7
"387506",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"catherinae",NA,"Albunea catherinae","accepted","Species","accepted","Boyko, 2002","WoRMS",NA,8
"467795",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"danai",NA,"Albunea danai","accepted","Species","accepted","Boyko, 1999","WoRMS",NA,9
"467761",66,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"dayriti",NA,"Albunea dayriti","unaccepted","Species","synonym","Serène & Umali, 1965","WORMS","467762",10
"467801",36,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"edsoni",NA,"Albunea edsoni","unaccepted","Species","synonym","Calado, 1997","WORMS","467703",11
"467802",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"elegans",NA,"Albunea elegans","accepted","Species","accepted","A. Milne-Edwards & Bouvier, 1898","WoRMS",NA,12
"467790",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"elioti",NA,"Albunea elioti","accepted","Species","accepted","Benedict, 1904","WoRMS",NA,13
"387507",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"galapagensis",NA,"Albunea galapagensis","accepted","Species","accepted","Boyko, 2002","WoRMS",NA,14
"421880",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"gibbesii",NA,"Albunea gibbesii","accepted","Species","accepted","Stimpson, 1859","WoRMS",NA,15
"467798",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"groeningi",NA,"Albunea groeningi","accepted","Species","accepted","Boyko, 2002","WoRMS",NA,16
"467791",7,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"guerinii",NA,"Albunea guerinii","unaccepted","Species","synonym","Lucas, 1853","WORMS","107191",17
"467797",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"holthuisi",NA,"Albunea holthuisi","accepted","Species","accepted","Boyko & Harvey, 1999","WoRMS",NA,18
"467758",67,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"intermedia",NA,"Albunea intermedia","unaccepted","Species","synonym","Balss, 1916","WORMS","467757",19
"467803",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"lucasia",NA,"Albunea lucasia","accepted","Species","accepted","de Saussure, 1853","WoRMS",NA,20
"467786",34,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"madagascariensis",NA,"Albunea madagascariensis","unaccepted","Species","synonym","Thomassin, 1973","WORMS","210324",21
"467769",74,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"mariellae",NA,"Albunea mariellae","unaccepted","Species","synonym","Serène, 1973","WORMS","504154",22
"467796",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"marquisiana",NA,"Albunea marquisiana","accepted","Species","accepted","Boyko, 2000","WoRMS",NA,23
"467789",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"microps",NA,"Albunea microps","accepted","Species","accepted","Miers, 1878","WoRMS",NA,24
