id,accid,canonical,authorship,taxon_rank,class,order,family,genus,subgenus,species,infraspecies,source,flags,valid,source_code,source_valid_code,marine,type,status
81,86,Abrote spinimana,"Philippi, 1857",Species,Malacostraca,Decapoda,Blepharipodidae,Abrote,NA,spinimana,NA,WORMS,NA,FALSE,467722,467718,1,synonym,junior subjective synonym
1615,0,Acantholithodes hispidus,"(Stimpson, 1860)",Species,Malacostraca,Decapoda,Hapalogastridae,Acantholithodes,NA,hispidus,NA,WoRMS,NA,TRUE,590103,NA,1,accepted,accepted
2881,0,Acanthopagurus dubius,"(A. Milne-Edwards & Bouvier, 1898)",Species,Malacostraca,Decapoda,Paguridae,Acanthopagurus,NA,dubius,NA,WoRMS,NA,TRUE,364535,NA,1,accepted,accepted
2882,3395,Acanthopagurus helleri,"(Balss, 1916)",Species,Malacostraca,Decapoda,Paguridae,Acanthopagurus,NA,helleri,NA,WORMS,NA,FALSE,411967,217266,1,synonym,superseded combination
2883,0,Agaricochirus acanthinus,"McLaughlin, 1982",Species,Malacostraca,Decapoda,Paguridae,Agaricochirus,NA,acanthinus,NA,WoRMS,NA,TRUE,366119,NA,1,accepted,accepted
2884,0,Agaricochirus alexandri,"(A. Milne-Edwards & Bouvier, 1893)",Species,Malacostraca,Decapoda,Paguridae,Agaricochirus,NA,alexandri,NA,WoRMS,NA,TRUE,366120,NA,1,accepted,accepted
2885,0,Agaricochirus boletifer,"(A. Milne-Edwards & Bouvier, 1893)",Species,Malacostraca,Decapoda,Paguridae,Agaricochirus,NA,boletifer,NA,WoRMS,NA,TRUE,366121,NA,1,accepted,accepted
2886,0,Agaricochirus cavimanus,"(Chace, 1939)",Species,Malacostraca,Decapoda,Paguridae,Agaricochirus,NA,cavimanus,NA,WoRMS,NA,TRUE,366122,NA,1,accepted,accepted
2887,0,Agaricochirus echinatus,"McLaughlin, 1982",Species,Malacostraca,Decapoda,Paguridae,Agaricochirus,NA,echinatus,NA,WoRMS,NA,TRUE,366123,NA,1,accepted,accepted
2888,0,Agaricochirus erosus,"(A. Milne-Edwards, 1880)",Species,Malacostraca,Decapoda,Paguridae,Agaricochirus,NA,erosus,NA,WoRMS,NA,TRUE,366124,NA,1,accepted,accepted
2889,0,Agaricochirus gibbosimanus,"(A. Milne-Edwards, 1880)",Species,Malacostraca,Decapoda,Paguridae,Agaricochirus,NA,gibbosimanus,NA,WoRMS,NA,TRUE,366125,NA,1,accepted,accepted
2890,0,Agaricochirus hispidus,"(Benedict, 1892)",Species,Malacostraca,Decapoda,Paguridae,Agaricochirus,NA,hispidus,NA,WoRMS,NA,TRUE,366126,NA,1,accepted,accepted
1869,0,Agononida aequabilis,"Macpherson, 2006",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,aequabilis,NA,WoRMS,NA,TRUE,392149,NA,1,accepted,accepted
1870,0,Agononida africerta,"Poore & Andreakis, 2012",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,africerta,NA,WoRMS,NA,TRUE,708880,NA,1,accepted,accepted
1871,0,Agononida alisae,"Macpherson, 1999",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,alisae,NA,WoRMS,NA,TRUE,392150,NA,1,accepted,accepted
1872,0,Agononida analoga,"(Macpherson, 1993)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,analoga,NA,WoRMS,NA,TRUE,392151,NA,1,accepted,accepted
1873,0,Agononida andrewi,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,andrewi,NA,WoRMS,NA,TRUE,392152,NA,1,accepted,accepted
1874,0,Agononida auscerta,"Poore & Andreakis, 2012",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,auscerta,NA,WoRMS,NA,TRUE,708883,NA,1,accepted,accepted
1875,0,Agononida callirrhoe,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,callirrhoe,NA,WoRMS,NA,TRUE,392153,NA,1,accepted,accepted
1876,0,Agononida eminens,"(Baba, 1988)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,eminens,NA,WoRMS,NA,TRUE,392154,NA,1,accepted,accepted
1877,0,Agononida emphereia,"Macpherson, 1997",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,emphereia,NA,WoRMS,NA,TRUE,392155,NA,1,accepted,accepted
1878,0,Agononida fortiantennata,"(Baba, 1988)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,fortiantennata,NA,WoRMS,NA,TRUE,392156,NA,1,accepted,accepted
1879,0,Agononida garciai,"Macpherson, 2004",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,garciai,NA,WoRMS,NA,TRUE,388895,NA,1,accepted,accepted
1880,0,Agononida imitata,"Macpherson, 2006",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,imitata,NA,WoRMS,NA,TRUE,392157,NA,1,accepted,accepted
1881,0,Agononida incerta,"(Henderson, 1888)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,incerta,NA,WoRMS,NA,TRUE,345791,NA,1,accepted,accepted
1882,0,Agononida indocerta,"Poore & Andreakis, 2012",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,indocerta,NA,WoRMS,NA,TRUE,708884,NA,1,accepted,accepted
1883,2436,Agononida insolita,"Macpherson, 2004",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,insolita,NA,WORMS,NA,FALSE,388896,392698,1,synonym,superseded combination
1884,0,Agononida isabelensis,"Cabezas, Macpherson & Machordom, 2009",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,isabelensis,NA,WoRMS,NA,TRUE,472936,NA,1,accepted,accepted
1885,0,Agononida laurentae,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,laurentae,NA,WoRMS,NA,TRUE,392158,NA,1,accepted,accepted
1886,0,Agononida longipes,"(A. Milne-Edwards, 1880)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,longipes,NA,WoRMS,NA,TRUE,392159,NA,1,accepted,accepted
1887,0,Agononida longispinata,"(Baba, 1988)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,longispinata,NA,WoRMS,NA,TRUE,392160,NA,1,accepted,accepted
1888,0,Agononida madagascerta,"Poore & Andreakis, 2014",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,madagascerta,NA,WoRMS,NA,TRUE,817754,NA,1,accepted,accepted
1889,0,Agononida marini,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,marini,NA,WoRMS,NA,TRUE,392161,NA,1,accepted,accepted
1890,0,Agononida nielbrucei,"Vereshchaka, 2005",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,nielbrucei,NA,WoRMS,NA,TRUE,389182,NA,1,accepted,accepted
1891,0,Agononida norfocerta,"Poore & Andreakis, 2012",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,norfocerta,NA,WoRMS,NA,TRUE,708885,NA,1,accepted,accepted
1892,0,Agononida normani,"(Henderson, 1885)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,normani,NA,WoRMS,NA,TRUE,392162,NA,1,accepted,accepted
1893,0,Agononida ocyrhoe,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,ocyrhoe,NA,WoRMS,NA,TRUE,392163,NA,1,accepted,accepted
1894,0,Agononida pilosimanus,"(Baba, 1969)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,pilosimanus,NA,WoRMS,NA,TRUE,392164,NA,1,accepted,accepted
1895,0,Agononida polycerta,"Poore & Andreakis, 2014",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,polycerta,NA,WoRMS,NA,TRUE,817756,NA,1,accepted,accepted
1896,0,Agononida procera,"Ahyong & Poore, 2004",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,procera,NA,WoRMS,NA,TRUE,388554,NA,1,accepted,accepted
1897,0,Agononida prolixa,"(Alcock, 1894)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,prolixa,NA,WoRMS,NA,TRUE,392165,NA,1,accepted,accepted
1898,0,Agononida rubrizonata,"Macpherson & Baba, 2009",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,rubrizonata,NA,WoRMS,NA,TRUE,392166,NA,1,accepted,accepted
1899,0,Agononida sabatesae,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,sabatesae,NA,WoRMS,NA,TRUE,392167,NA,1,accepted,accepted
1900,0,Agononida schroederi,"(Chace, 1939)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,schroederi,NA,WoRMS,NA,TRUE,392168,NA,1,accepted,accepted
1901,0,Agononida similis,"(Baba, 1988)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,similis,NA,WoRMS,NA,TRUE,392169,NA,1,accepted,accepted
1902,0,Agononida simillima,"Macpherson, 2006",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,simillima,NA,WoRMS,NA,TRUE,392170,NA,1,accepted,accepted
1903,0,Agononida soelae,"(Baba, 1986)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,soelae,NA,WoRMS,NA,TRUE,392171,NA,1,accepted,accepted
1904,0,Agononida sphecia,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,sphecia,NA,WoRMS,NA,TRUE,392172,NA,1,accepted,accepted
1905,0,Agononida spinicordata,"(Henderson, 1885)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,spinicordata,NA,WoRMS,NA,TRUE,392173,NA,1,accepted,accepted
1906,0,Agononida squamosa,"(Henderson, 1885)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,squamosa,NA,WoRMS,NA,TRUE,392174,NA,1,accepted,accepted
1907,0,Agononida tasmancerta,"Poore & Andreakis, 2014",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,tasmancerta,NA,WoRMS,NA,TRUE,817757,NA,1,accepted,accepted
1908,0,Agononida tenuipes,"(Miyake & Baba, 1967)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,tenuipes,NA,WoRMS,NA,TRUE,392175,NA,1,accepted,accepted
1909,1948,Agononida urizae,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,urizae,NA,WORMS,NA,FALSE,392838,392203,1,synonym,superseded combination
1910,0,Agononida vanuacerta,"Poore & Andreakis, 2014",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,vanuacerta,NA,WoRMS,NA,TRUE,817758,NA,1,accepted,accepted
1911,0,Agononida variabilis,"(Baba, 1988)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,variabilis,NA,WoRMS,NA,TRUE,392176,NA,1,accepted,accepted
1912,1949,Agononida yante,"(Macpherson, 1994)",Species,Malacostraca,Decapoda,Munididae,Agononida,NA,yante,NA,WORMS,NA,FALSE,392840,392204,1,synonym,superseded combination
1300,0,Alainius crosnieri,"Baba, 1991",Species,Malacostraca,Decapoda,Galatheidae,Alainius,NA,crosnieri,NA,WoRMS,NA,TRUE,392177,NA,1,accepted,accepted
2891,0,Alainopaguroides andamanensis,"McLaughlin, 2002",Species,Malacostraca,Decapoda,Paguridae,Alainopaguroides,NA,andamanensis,NA,WoRMS,NA,TRUE,366128,NA,1,accepted,accepted
2892,0,Alainopaguroides lemaitrei,"McLaughlin, 1997",Species,Malacostraca,Decapoda,Paguridae,Alainopaguroides,NA,lemaitrei,NA,WoRMS,NA,TRUE,366129,NA,1,accepted,accepted
2893,0,Alainopaguroides megalophthalmus,"McLaughlin, 2006",Species,Malacostraca,Decapoda,Paguridae,Alainopaguroides,NA,megalophthalmus,NA,WoRMS,NA,TRUE,366130,NA,1,accepted,accepted
2894,0,Alainopaguroides sinensis,"Han, Komai & Sha, 2016",Species,Malacostraca,Decapoda,Paguridae,Alainopaguroides,NA,sinensis,NA,WoRMS,NA,TRUE,888212,NA,1,accepted,accepted
2895,0,Alainopagurus crosnieri,"Lemaitre & McLaughlin, 1995",Species,Malacostraca,Decapoda,Paguridae,Alainopagurus,NA,crosnieri,NA,WoRMS,NA,TRUE,364571,NA,1,accepted,accepted
1,20,Albuminea Lucasia,"de Saussure, 1853",Species,Malacostraca,Decapoda,Albuneidae,Albuminea,NA,Lucasia,NA,WORMS,NA,FALSE,467813,467803,1,synonym,superseded combination
2,15,Albunaea gibbesi,"Stimpson, 1858",Species,Malacostraca,Decapoda,Albuneidae,Albunaea,NA,gibbesi,NA,WORMS,NA,FALSE,868225,421880,1,synonym,nomen nudum
3,15,Albunaea gibbesii,"Stimpson, 1859",Species,Malacostraca,Decapoda,Albuneidae,Albunaea,NA,gibbesii,NA,WORMS,NA,FALSE,868224,421880,1,synonym,unaccepted
4,34,Albunaea speciosa,"Dana, 1852",Species,Malacostraca,Decapoda,Albuneidae,Albunaea,NA,speciosa,NA,WORMS,NA,FALSE,868327,210324,1,synonym,unaccepted
5,7,Albunea barbara,"Ortmann, 1896",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,barbara,NA,WORMS,NA,FALSE,467756,107191,1,synonym,unaccepted
6,0,Albunea bulla,"Boyko, 2002",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,bulla,NA,WoRMS,NA,TRUE,387505,NA,1,accepted,accepted
7,0,Albunea carabus,"(Linnaeus, 1758)",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,carabus,NA,WoRMS,NA,TRUE,107191,NA,1,accepted,accepted
8,0,Albunea catherinae,"Boyko, 2002",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,catherinae,NA,WoRMS,NA,TRUE,387506,NA,1,accepted,accepted
9,0,Albunea danai,"Boyko, 1999",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,danai,NA,WoRMS,NA,TRUE,467795,NA,1,accepted,accepted
10,66,Albunea dayriti,"Serène & Umali, 1965",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,dayriti,NA,WORMS,NA,FALSE,467761,467762,1,synonym,superseded combination
11,36,Albunea edsoni,"Calado, 1997",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,edsoni,NA,WORMS,NA,FALSE,467801,467703,1,synonym,junior subjective synonym
12,0,Albunea elegans,"A. Milne-Edwards & Bouvier, 1898",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,elegans,NA,WoRMS,NA,TRUE,467802,NA,1,accepted,accepted
13,0,Albunea elioti,"Benedict, 1904",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,elioti,NA,WoRMS,NA,TRUE,467790,NA,1,accepted,accepted
14,0,Albunea galapagensis,"Boyko, 2002",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,galapagensis,NA,WoRMS,NA,TRUE,387507,NA,1,accepted,accepted
15,0,Albunea gibbesii,"Stimpson, 1859",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,gibbesii,NA,WoRMS,NA,TRUE,421880,NA,1,accepted,accepted
16,0,Albunea groeningi,"Boyko, 2002",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,groeningi,NA,WoRMS,NA,TRUE,467798,NA,1,accepted,accepted
17,7,Albunea guerinii,"Lucas, 1853",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,guerinii,NA,WORMS,NA,FALSE,467791,107191,1,synonym,junior subjective synonym
18,0,Albunea holthuisi,"Boyko & Harvey, 1999",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,holthuisi,NA,WoRMS,NA,TRUE,467797,NA,1,accepted,accepted
19,67,Albunea intermedia,"Balss, 1916",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,intermedia,NA,WORMS,NA,FALSE,467758,467757,1,synonym,superseded combination
20,0,Albunea lucasia,"de Saussure, 1853",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,lucasia,NA,WoRMS,NA,TRUE,467803,NA,1,accepted,accepted
21,34,Albunea madagascariensis,"Thomassin, 1973",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,madagascariensis,NA,WORMS,NA,FALSE,467786,210324,1,synonym,junior subjective synonym
22,74,Albunea mariellae,"Serène, 1973",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,mariellae,NA,WORMS,NA,FALSE,467769,504154,1,synonym,superseded combination
23,0,Albunea marquisiana,"Boyko, 2000",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,marquisiana,NA,WoRMS,NA,TRUE,467796,NA,1,accepted,accepted
24,0,Albunea microps,"Miers, 1878",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,microps,NA,WoRMS,NA,TRUE,467789,NA,1,accepted,accepted
25,24,Albunea microps,"White, 1847",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,microps,NA,WORMS,NA,FALSE,868360,467789,1,synonym,nomen nudum
26,0,Albunea occulta,"Boyko, 2002",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,occulta,NA,WoRMS,NA,TRUE,467704,NA,1,accepted,accepted
27,26,Albunea occultus,"Boyko, 2002",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,occultus,NA,WORMS,NA,FALSE,387508,467704,1,synonym,incorrect grammatical agreement of specific epithet
28,0,Albunea okinawaensis,"Osawa & Fujita, 2007",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,okinawaensis,NA,WoRMS,NA,TRUE,467706,NA,1,accepted,accepted
29,32,Albunea oxyophthalma,"Miers, 1878",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,oxyophthalma,NA,WORMS,NA,FALSE,467805,107192,1,synonym,junior subjective synonym
30,32,Albunea oxyophthalmus,"White, 1847",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,oxyophthalmus,NA,WORMS,NA,FALSE,467804,107192,1,synonym,unaccepted
31,69,Albunea paradoxa,"Gordon, 1938",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,paradoxa,NA,WORMS,NA,FALSE,467759,467760,1,synonym,superseded combination
32,0,Albunea paretii,"Guérin-Méneville, 1853",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,paretii,NA,WoRMS,NA,TRUE,107192,NA,1,accepted,accepted
33,74,Albunea scutelloides,"Garstang, 1897",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,scutelloides,NA,WORMS,NA,FALSE,504153,504154,1,synonym,superseded combination
34,0,Albunea speciosa,"Dana, 1852",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,speciosa,NA,WoRMS,NA,TRUE,210324,NA,1,accepted,accepted
35,0,Albunea steinitzi,"Holthuis, 1958",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,steinitzi,NA,WoRMS,NA,TRUE,210325,NA,1,accepted,accepted
36,0,Albunea symmysta,"(Linnaeus, 1758)",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,symmysta,NA,WoRMS,NA,TRUE,467703,NA,1,accepted,accepted
37,36,Albunea symnista,"(Linnaeus, 1767)",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,symnista,NA,WORMS,NA,FALSE,210326,467703,1,synonym,misspelling
38,0,Albunea thurstoni,"Henderson, 1893",Species,Malacostraca,Decapoda,Albuneidae,Albunea,NA,thurstoni,NA,WoRMS,NA,TRUE,210323,NA,1,accepted,accepted
82,86,Albunhippa spinosa,"H. Milne Edwards & Lucas, 1841",Species,Malacostraca,Decapoda,Blepharipodidae,Albunhippa,NA,spinosa,NA,WORMS,NA,FALSE,467721,467718,1,synonym,superseded combination
4274,0,Aliaporcellana kikuchii,"Nakasone & Miyake, 1969",Species,Malacostraca,Decapoda,Porcellanidae,Aliaporcellana,NA,kikuchii,NA,WoRMS,NA,TRUE,410086,NA,1,accepted,accepted
4275,0,Aliaporcellana pygmaea,"(de Man, 1902)",Species,Malacostraca,Decapoda,Porcellanidae,Aliaporcellana,NA,pygmaea,NA,WoRMS,NA,TRUE,410085,NA,1,accepted,accepted
4276,0,Aliaporcellana spongicola,"Hiller & Werding, 2018",Species,Malacostraca,Decapoda,Porcellanidae,Aliaporcellana,NA,spongicola,NA,WoRMS,NA,TRUE,1289279,NA,1,accepted,accepted
4277,0,Aliaporcellana suluensis,"(Dana, 1852)",Species,Malacostraca,Decapoda,Porcellanidae,Aliaporcellana,NA,suluensis,NA,WoRMS,NA,TRUE,410084,NA,1,accepted,accepted
4278,0,Aliaporcellana taiwanensis,"Dong, Li & Chan, 2011",Species,Malacostraca,Decapoda,Porcellanidae,Aliaporcellana,NA,taiwanensis,NA,WoRMS,NA,TRUE,576830,NA,1,accepted,accepted
4279,0,Aliaporcellana telestophila,"(D.S. Johnson, 1958)",Species,Malacostraca,Decapoda,Porcellanidae,Aliaporcellana,NA,telestophila,NA,WoRMS,NA,TRUE,410087,NA,1,accepted,accepted
93,0,Allodardanus bredini,"Haig & Provenzano, 1965",Species,Malacostraca,Decapoda,Calcinidae,Allodardanus,NA,bredini,NA,WoRMS,NA,TRUE,367399,NA,1,accepted,accepted
94,0,Allodardanus midas,"McLaughlin & Gore, 1985",Species,Malacostraca,Decapoda,Calcinidae,Allodardanus,NA,midas,NA,WoRMS,NA,TRUE,367400,NA,1,accepted,accepted
95,0,Allodardanus rugosus,"Haig & Provenzano, 1965",Species,Malacostraca,Decapoda,Calcinidae,Allodardanus,NA,rugosus,NA,WoRMS,NA,TRUE,367401,NA,1,accepted,accepted
2896,0,Alloeopagurodes spiniacicula,"Komai, 1998",Species,Malacostraca,Decapoda,Paguridae,Alloeopagurodes,NA,spiniacicula,NA,WoRMS,NA,TRUE,364537,NA,1,accepted,accepted
1301,0,Allogalathea babai,"Cabezas, Macpherson & Machordom, 2011",Species,Malacostraca,Decapoda,Galatheidae,Allogalathea,NA,babai,NA,WoRMS,NA,TRUE,574317,NA,1,accepted,accepted
1302,0,Allogalathea elegans,"(Adams, 1847)",Species,Malacostraca,Decapoda,Galatheidae,Allogalathea,NA,elegans,NA,WoRMS,NA,TRUE,246208,NA,1,accepted,accepted
1303,0,Allogalathea inermis,"Cabezas, Macpherson & Machordom, 2011",Species,Malacostraca,Decapoda,Galatheidae,Allogalathea,NA,inermis,NA,WoRMS,NA,TRUE,574318,NA,1,accepted,accepted
1304,0,Allogalathea longimana,"Cabezas, Macpherson & Machordom, 2011",Species,Malacostraca,Decapoda,Galatheidae,Allogalathea,NA,longimana,NA,WoRMS,NA,TRUE,574319,NA,1,accepted,accepted
1305,0,Allomunida magnicheles,"Baba, 1988",Species,Malacostraca,Decapoda,Galatheidae,Allomunida,NA,magnicheles,NA,WoRMS,NA,TRUE,392178,NA,1,accepted,accepted
4280,0,Allopetrolisthes angulosus,"(Guérin, 1835)",Species,Malacostraca,Decapoda,Porcellanidae,Allopetrolisthes,NA,angulosus,NA,WoRMS,NA,TRUE,425811,NA,1,accepted,accepted
4281,0,Allopetrolisthes punctatus,"(Guérin, 1835)",Species,Malacostraca,Decapoda,Porcellanidae,Allopetrolisthes,NA,punctatus,NA,WoRMS,NA,TRUE,425812,NA,1,accepted,accepted
4282,0,Allopetrolisthes spinifrons,"(H Milne Edwards, 1837 [in H Milne Edwards, 1837-1840])",Species,Malacostraca,Decapoda,Porcellanidae,Allopetrolisthes,NA,spinifrons,NA,WoRMS,NA,TRUE,425813,NA,1,accepted,accepted
2897,0,Anapagrides aequalis,"Komai, 1999",Species,Malacostraca,Decapoda,Paguridae,Anapagrides,NA,aequalis,NA,WoRMS,NA,TRUE,366132,NA,1,accepted,accepted
2898,0,Anapagrides facetus,"(Melin, 1939)",Species,Malacostraca,Decapoda,Paguridae,Anapagrides,NA,facetus,NA,WoRMS,NA,TRUE,366133,NA,1,accepted,accepted
2899,0,Anapagrides reesei,"(McLaughlin, 1986)",Species,Malacostraca,Decapoda,Paguridae,Anapagrides,NA,reesei,NA,WoRMS,NA,TRUE,366134,NA,1,accepted,accepted
2900,0,Anapagurus adriaticus,"García-Gómez, 1994",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,adriaticus,NA,WoRMS,NA,TRUE,107211,NA,1,accepted,accepted
2901,0,Anapagurus alboranensis,"García-Gómez, 1994",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,alboranensis,NA,WoRMS,NA,TRUE,107212,NA,1,accepted,accepted
2902,0,Anapagurus atlantidii,"García-Gómez, 1994",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,atlantidii,NA,WoRMS,NA,TRUE,366135,NA,1,accepted,accepted
2903,3375,Anapagurus australiensis,"Henderson, 1888",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,australiensis,NA,WORMS,NA,FALSE,411968,366527,1,synonym,junior subjective synonym
2904,0,Anapagurus bicorniger,"A. Milne-Edwards & Bouvier, 1892",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,bicorniger,NA,WoRMS,NA,TRUE,107213,NA,1,accepted,accepted
2905,0,Anapagurus bonnieri,"Nobili, 1905",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,bonnieri,NA,WoRMS,NA,TRUE,217263,NA,1,accepted,accepted
2906,0,Anapagurus breviaculeatus,"Fenizia, 1937",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,breviaculeatus,NA,WoRMS,NA,TRUE,107214,NA,1,accepted,accepted
2907,2910,Anapagurus brevicarpus,"A. Milne-Edwards & Bouver, 1892",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,brevicarpus,NA,WORMS,NA,FALSE,411969,107215,1,synonym,junior subjective synonym
2908,2910,Anapagurus chiroacanthus var. cristatus,"Fenizia, 1937",Variety,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,chiroacanthus,var. cristatus,WORMS,NA,FALSE,412559,107215,1,synonym,junior subjective synonym
2909,2910,Anapagurus chiroacanthus var. gracilis,"Fenizia, 1937",Variety,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,chiroacanthus,var. gracilis,WORMS,NA,FALSE,412560,107215,1,synonym,junior subjective synonym
2910,0,Anapagurus chiroacanthus,"(Liljeborg, 1856)",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,chiroacanthus,NA,WoRMS,NA,TRUE,107215,NA,1,accepted,accepted
2911,0,Anapagurus congolensis,"García-Gómez, 1994",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,congolensis,NA,WoRMS,NA,TRUE,366136,NA,1,accepted,accepted
2912,0,Anapagurus curvidactylus,"Chevreux & Bouvier, 1892",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,curvidactylus,NA,WoRMS,NA,TRUE,107216,NA,1,accepted,accepted
2913,3295,Anapagurus drachi,"Forest, 1966",Species,Malacostraca,Decapoda,Paguridae,Anapagurus,NA,drachi,NA,WORMS,NA,FALSE,411970,364555,1,synonym,superseded combination
