;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
1;467756;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;barbara;NA;Albunea barbara;unaccepted;Species;synonym;Ortmann, 1896;WORMS;107191
2;467791;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;guerinii;NA;Albunea guerinii;unaccepted;Species;synonym;Lucas, 1853;WORMS;107191
3;467792;0;Malacostraca;Decapoda;Cancridae;Cancer;NA;carabus;NA;Cancer carabus;unaccepted;Species;synonym;Linnaeus, 1758;WORMS;107191
4;868225;0;Malacostraca;Decapoda;Albuneidae;Albunaea;NA;gibbesi;NA;Albunaea gibbesi;unaccepted;Species;synonym;Stimpson, 1858;WORMS;421880
5;868224;0;Malacostraca;Decapoda;Albuneidae;Albunaea;NA;gibbesii;NA;Albunaea gibbesii;unaccepted;Species;synonym;Stimpson, 1859;WORMS;421880
6;467813;0;Malacostraca;Decapoda;Albuneidae;Albuminea;NA;Lucasia;NA;Albuminea Lucasia;unaccepted;Species;synonym;de Saussure, 1853;WORMS;467803
7;868360;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;microps;NA;Albunea microps;unaccepted;Species;synonym;White, 1847;WORMS;467789
8;387508;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;occultus;NA;Albunea occultus;unaccepted;Species;synonym;Boyko, 2002;WORMS;467704
9;467805;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;oxyophthalma;NA;Albunea oxyophthalma;unaccepted;Species;synonym;Miers, 1878;WORMS;107192
10;467804;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;oxyophthalmus;NA;Albunea oxyophthalmus;unaccepted;Species;synonym;White, 1847;WORMS;107192
11;868327;0;Malacostraca;Decapoda;Albuneidae;Albunaea;NA;speciosa;NA;Albunaea speciosa;unaccepted;Species;synonym;Dana, 1852;WORMS;210324
12;467786;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;madagascariensis;NA;Albunea madagascariensis;unaccepted;Species;synonym;Thomassin, 1973;WORMS;210324
13;467801;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;edsoni;NA;Albunea edsoni;unaccepted;Species;synonym;Calado, 1997;WORMS;467703
14;210326;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;symnista;NA;Albunea symnista;unaccepted;Species;synonym;(Linnaeus, 1767);WORMS;467703
15;467799;0;Malacostraca;Decapoda;Cancridae;Cancer;NA;symmysta;NA;Cancer symmysta;unaccepted;Species;synonym;Linnaeus, 1758;WORMS;467703
16;467800;0;Malacostraca;Decapoda;Cancridae;Cancer;NA;symnista;NA;Cancer symnista;unaccepted;Species;synonym;Linnaeus, 1767;WORMS;467703
17;467750;0;Malacostraca;Decapoda;Albuneidae;Lepidopa;NA;rhomboocularis;NA;Lepidopa rhomboocularis;unaccepted;Species;synonym;Schuster-Dieterichs, 1956;WORMS;467748
18;467751;0;Malacostraca;Decapoda;Albuneidae;Lepidopa;NA;sorodeamae;NA;Lepidopa sorodeamae;unaccepted;Species;synonym;Efford, 1971;WORMS;467748
19;467749;0;Malacostraca;Decapoda;Albuneidae;Lepidopa;NA;fernandesi;NA;Lepidopa fernandesi;unaccepted;Species;synonym;Garcia Mendes, 1945;WORMS;421882
20;467761;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;dayriti;NA;Albunea dayriti;unaccepted;Species;synonym;Serène & Umali, 1965;WORMS;467762
21;467758;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;intermedia;NA;Albunea intermedia;unaccepted;Species;synonym;Balss, 1916;WORMS;467757
22;467759;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;paradoxa;NA;Albunea paradoxa;unaccepted;Species;synonym;Gordon, 1938;WORMS;467760
23;467736;0;Malacostraca;Decapoda;Albuneidae;Lepidopa;NA;distincta;NA;Lepidopa distincta;unaccepted;Species;synonym;Gomes Corrêa, 1968;WORMS;467737
24;467734;0;Malacostraca;Decapoda;Albuneidae;Lepidopa;NA;panamaensis;NA;Lepidopa panamaensis;unaccepted;Species;synonym;Efford, 1971;WORMS;467733
25;467732;0;Malacostraca;Decapoda;Albuneidae;Lepidops;NA;myops;NA;Lepidops myops;unaccepted;Species;synonym;Stimpson, 1860;WORMS;467733
26;467769;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;mariellae;NA;Albunea mariellae;unaccepted;Species;synonym;Serène, 1973;WORMS;504154
27;504153;0;Malacostraca;Decapoda;Albuneidae;Albunea;NA;scutelloides;NA;Albunea scutelloides;unaccepted;Species;synonym;Garstang, 1897;WORMS;504154
28;467768;0;Malacostraca;Decapoda;Albuneidae;Squillalbunea;NA;mariellae;NA;Squillalbunea mariellae;unaccepted;Species;synonym;(Serène, 1973);WORMS;504154
29;467722;0;Malacostraca;Decapoda;Blepharipodidae;Abrote;NA;spinimana;NA;Abrote spinimana;unaccepted;Species;synonym;Philippi, 1857;WORMS;467718
30;467721;0;Malacostraca;Decapoda;Blepharipodidae;Albunhippa;NA;spinosa;NA;Albunhippa spinosa;unaccepted;Species;synonym;H. Milne Edwards & Lucas, 1841;WORMS;467718
31;467709;0;Malacostraca;Decapoda;Blepharipodidae;Blepharopoda;NA;fauriana;NA;Blepharopoda fauriana;unaccepted;Species;synonym;Bouvier, 1898;WORMS;467705
32;467708;0;Malacostraca;Decapoda;Blepharipodidae;Blepharopoda;NA;japonica;NA;Blepharopoda japonica;unaccepted;Species;synonym;Duruflé, 1889;WORMS;467705
33;467710;0;Malacostraca;Decapoda;Blepharipodidae;Lophomastix;NA;tchangsii;NA;Lophomastix tchangsii;unaccepted;Species;synonym;Yü, 1935;WORMS;467705
34;467712;0;Malacostraca;Decapoda;Blepharipodidae;Lophomastrix;NA;brevirostris;NA;Lophomastrix brevirostris;unaccepted;Species;synonym;Urita, 1934;WORMS;467705
35;411979;0;Malacostraca;Decapoda;Calcinidae;Aniculus;NA;typicus;NA;Aniculus typicus;unaccepted;Species;synonym;Dana, 1852;WORMS;208666
36;412289;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;aniculus;NA;Pagurus aniculus;unaccepted;Species;synonym;JC Fabricius, 1787;WORMS;208666
37;411976;0;Malacostraca;Decapoda;Calcinidae;Aniculus;NA;longitarsis;NA;Aniculus longitarsis;unaccepted;Species;synonym;Streets, 1871;WORMS;367402
38;590209;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;ursus;NA;Pagurus ursus;unaccepted;Species;synonym;Olivier, 1812;WORMS;208665
39;412050;0;Malacostraca;Decapoda;Diogenidae;Clibanarius;NA;albicinctus;NA;Clibanarius albicinctus;unaccepted;Species;synonym;Alcock, 1905;WORMS;212488
40;412054;0;Malacostraca;Decapoda;Diogenidae;Clibanarius;NA;anomalus;NA;Clibanarius anomalus;unaccepted;Species;synonym;A.Milne-Edwards & Bouvier, 1893;WORMS;367406
