Family,Genus,Subgenus,ScientificName_gbif,Species,Subspecies,taxonRank_gbif,taxonomicStatus_gbif,taxonRank_corr,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
"""Coenobitidae""","""Coenobita""",NA,"""Coenobita clypeatus""","""clypeatus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",368191,exact,Checked by Taxonomic Editor,accepted,Coenobita clypeatus,"(JC Fabricius, 1787)",368191,Coenobita clypeatus,"(JC Fabricius, 1787)",Animalia,Arthropoda,Malacostraca,Decapoda,Coenobitidae,Coenobita,,clypeatus,,0,0,0,1,,not marine,,fuzzyWORMS,,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus laurentae""","""laurentae""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366506,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) laurentae,"(McLaughlin & Gunn, 1992)",366506,Lophopagurus (Australeremus) laurentae,"(McLaughlin & Gunn, 1992)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,laurentae,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Coenobitidae""","""Coenobita""",NA,"""Coenobita compressus""","""compressus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",368192,exact,Checked by Taxonomic Editor,accepted,Coenobita compressus,"H. Milne Edwards, 1837 [in H. Milne Edwards, 1834-1840]",368192,Coenobita compressus,"H. Milne Edwards, 1837 [in H. Milne Edwards, 1834-1840]",Animalia,Arthropoda,Malacostraca,Decapoda,Coenobitidae,Coenobita,,compressus,,0,0,0,1,,not marine,,fuzzyWORMS,,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus nanus""","""nanus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366494,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Lophopagurus) nanus,"(Henderson, 1888)",366494,Lophopagurus (Lophopagurus) nanus,"(Henderson, 1888)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Lophopagurus,nanus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus lacertosus""","""lacertosus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366493,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Lophopagurus) lacertosus,"(Henderson, 1888)",366493,Lophopagurus (Lophopagurus) lacertosus,"(Henderson, 1888)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Lophopagurus,lacertosus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus stewarti""","""stewarti""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366507,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) stewarti,"(Filhol, 1884)",366507,Lophopagurus (Australeremus) stewarti,"(Filhol, 1884)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,stewarti,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus thompsoni""","""thompsoni""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366499,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Lophopagurus) thompsoni,"(Filhol, 1885)",366499,Lophopagurus (Lophopagurus) thompsoni,"(Filhol, 1885)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Lophopagurus,thompsoni,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus minimus""","""minimus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",877838,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Lophopagurus) minimus,"Komai & Rahayu, 2013",877838,Lophopagurus (Lophopagurus) minimus,"Komai & Rahayu, 2013",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Lophopagurus,minimus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus triserratus""","""triserratus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366508,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) triserratus,"(Ortmann, 1892)",366508,Lophopagurus (Australeremus) triserratus,"(Ortmann, 1892)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,triserratus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Calcinidae""","""Ciliopagurus""",NA,"""Ciliopagurus caparti""","""caparti""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",367477,exact,Checked by Taxonomic Editor,accepted,Ciliopagurus caparti,"(Forest, 1952)",367477,Ciliopagurus caparti,"(Forest, 1952)",Animalia,Arthropoda,Malacostraca,Decapoda,Calcinidae,Ciliopagurus,,caparti,,,0,1,0,,not marine,,fuzzyWORMS,,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus lacertosus""","""crenatus""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366493,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Lophopagurus) lacertosus,"(Henderson, 1888)",366493,Lophopagurus (Lophopagurus) lacertosus,"(Henderson, 1888)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Lophopagurus,lacertosus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Albuneidae""","""Lepidops""",NA,"""Lepidops myops""","""myops""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",467732,,,unaccepted,Paraleucolepidopa myops,"(Stimpson, 1860)",467733,Paraleucolepidopa myops,"(Stimpson, 1860)",Animalia,Arthropoda,Malacostraca,Decapoda,Albuneidae,Paraleucolepidopa,,myops,,1,0,0,0,,,synonym,fuzzyWORMS,,
